PheCode,Phenotype,Category,OMICSPRED ID,Internal R2,Platform,Description,Hazard Ratio,FDR adjusted P-value
600,Hyperplasia of prostate,genitourinary,OPGS000400,0.139,SomaScan,Agouti-signaling protein,1.03 (1.01 1.04),4.77E-02
600,Hyperplasia of prostate,genitourinary,OPGS002632,0.022,Olink,Advanced glycosylation end product-specific receptor,1.03 (1.02 1.05),9.69E-03
600,Hyperplasia of prostate,genitourinary,OPGS003220,0.011,Metabolon,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),1.04 (1.02 1.05),1.77E-04
600,Hyperplasia of prostate,genitourinary,OPGS003031,0.026,Metabolon,X - 21312,0.97 (0.95 0.98),1.17E-03
600,Hyperplasia of prostate,genitourinary,OPGS003126,0.017,Metabolon,X - 21829,0.97 (0.96 0.98),1.55E-02
600,Hyperplasia of prostate,genitourinary,OPGS003135,0.016,Metabolon,X - 15486,0.97 (0.96 0.99),3.84E-02
600,Hyperplasia of prostate,genitourinary,OPGS003834,0.535,RNAseq,AC026748.3,1.07 (1.06 1.09),8.00E-18
600,Hyperplasia of prostate,genitourinary,OPGS012654,0.034,RNAseq,CLPTM1L,0.94 (0.92 0.95),4.81E-15
600,Hyperplasia of prostate,genitourinary,OPGS013826,0.024,RNAseq,MLLT10,1.05 (1.04 1.06),8.13E-11
600,Hyperplasia of prostate,genitourinary,OPGS003843,0.532,RNAseq,BTN3A2,1.05 (1.04 1.07),3.22E-08
600,Hyperplasia of prostate,genitourinary,OPGS010142,0.067,RNAseq,PRSS16,0.95 (0.94 0.97),1.65E-06
600,Hyperplasia of prostate,genitourinary,OPGS009371,0.082,RNAseq,TRBV19,1.04 (1.03 1.06),4.66E-06
600,Hyperplasia of prostate,genitourinary,OPGS014496,0.019,RNAseq,VARS1,0.96 (0.94 0.97),4.66E-06
600,Hyperplasia of prostate,genitourinary,OPGS005580,0.232,RNAseq,ZBTB38,1.04 (1.03 1.06),4.95E-05
600,Hyperplasia of prostate,genitourinary,OPGS009865,0.072,RNAseq,TRAV17,1.04 (1.03 1.06),9.46E-05
600,Hyperplasia of prostate,genitourinary,OPGS009198,0.085,RNAseq,TRAV12-1,0.96 (0.95 0.98),1.91E-04
600,Hyperplasia of prostate,genitourinary,OPGS007604,0.128,RNAseq,U91328.1,0.96 (0.95 0.98),2.42E-04
600,Hyperplasia of prostate,genitourinary,OPGS010826,0.056,RNAseq,TRIM10,1.04 (1.02 1.05),3.65E-04
600,Hyperplasia of prostate,genitourinary,OPGS013780,0.024,RNAseq,ZSCAN16,0.96 (0.95 0.98),3.82E-04
600,Hyperplasia of prostate,genitourinary,OPGS012819,0.033,RNAseq,DNAJC1,0.97 (0.95 0.98),9.47E-04
600,Hyperplasia of prostate,genitourinary,OPGS013068,0.030,RNAseq,AL021807.1,0.97 (0.95 0.98),1.14E-03
600,Hyperplasia of prostate,genitourinary,OPGS013013,0.031,RNAseq,FOXJ1,1.04 (1.02 1.05),1.48E-03
600,Hyperplasia of prostate,genitourinary,OPGS003680,0.611,RNAseq,,0.97 (0.95 0.98),1.57E-03
600,Hyperplasia of prostate,genitourinary,OPGS004134,0.427,RNAseq,H2BC5,1.03 (1.02 1.05),1.60E-03
600,Hyperplasia of prostate,genitourinary,OPGS010171,0.066,RNAseq,CABLES2,0.97 (0.95 0.98),1.87E-03
600,Hyperplasia of prostate,genitourinary,OPGS013045,0.030,RNAseq,NEU1,1.03 (1.02 1.05),2.70E-03
600,Hyperplasia of prostate,genitourinary,OPGS010693,0.058,RNAseq,TRBV5-1,0.97 (0.95 0.98),3.11E-03
600,Hyperplasia of prostate,genitourinary,OPGS009241,0.084,RNAseq,ZKSCAN4,0.97 (0.95 0.98),3.39E-03
600,Hyperplasia of prostate,genitourinary,OPGS006499,0.176,RNAseq,C4A,1.03 (1.02 1.05),4.32E-03
600,Hyperplasia of prostate,genitourinary,OPGS006517,0.174,RNAseq,,0.97 (0.95 0.98),4.86E-03
600,Hyperplasia of prostate,genitourinary,OPGS010607,0.059,RNAseq,TRAV8-1,0.97 (0.96 0.98),6.50E-03
600,Hyperplasia of prostate,genitourinary,OPGS004144,0.424,RNAseq,PSORS1C3,1.03 (1.02 1.05),6.50E-03
600,Hyperplasia of prostate,genitourinary,OPGS011784,0.044,RNAseq,TUBB,0.97 (0.96 0.98),8.94E-03
600,Hyperplasia of prostate,genitourinary,OPGS012712,0.033,RNAseq,APPL1,0.97 (0.96 0.98),9.69E-03
600,Hyperplasia of prostate,genitourinary,OPGS011283,0.050,RNAseq,CD248,1.03 (1.02 1.05),1.07E-02
600,Hyperplasia of prostate,genitourinary,OPGS012006,0.041,RNAseq,VARS2,1.03 (1.02 1.05),1.15E-02
600,Hyperplasia of prostate,genitourinary,OPGS014680,0.018,RNAseq,GALE,1.03 (1.02 1.05),1.16E-02
600,Hyperplasia of prostate,genitourinary,OPGS013406,0.027,RNAseq,AL353759.1,0.97 (0.96 0.98),1.37E-02
600,Hyperplasia of prostate,genitourinary,OPGS007407,0.135,RNAseq,TRBV2,0.97 (0.96 0.98),1.37E-02
600,Hyperplasia of prostate,genitourinary,OPGS005763,0.217,RNAseq,FAM53A,0.97 (0.96 0.98),1.55E-02
600,Hyperplasia of prostate,genitourinary,OPGS010926,0.055,RNAseq,CACNA2D4,1.03 (1.02 1.05),1.55E-02
600,Hyperplasia of prostate,genitourinary,OPGS005065,0.280,RNAseq,SLC25A37,1.03 (1.02 1.05),1.55E-02
600,Hyperplasia of prostate,genitourinary,OPGS011367,0.049,RNAseq,SLK,1.03 (1.02 1.04),1.57E-02
600,Hyperplasia of prostate,genitourinary,OPGS003620,0.668,RNAseq,ZFP57,0.97 (0.96 0.98),1.60E-02
600,Hyperplasia of prostate,genitourinary,OPGS006052,0.200,RNAseq,RNASEH2B-AS1,0.97 (0.96 0.99),1.68E-02
600,Hyperplasia of prostate,genitourinary,OPGS004334,0.383,RNAseq,HLA-G,1.03 (1.01 1.04),1.69E-02
600,Hyperplasia of prostate,genitourinary,OPGS012768,0.033,RNAseq,HMGA1,1.03 (1.01 1.04),1.69E-02
600,Hyperplasia of prostate,genitourinary,OPGS006638,0.168,RNAseq,AL118506.1,0.97 (0.96 0.99),2.06E-02
600,Hyperplasia of prostate,genitourinary,OPGS007675,0.126,RNAseq,TRAV12-2,0.97 (0.96 0.99),2.14E-02
600,Hyperplasia of prostate,genitourinary,OPGS008889,0.092,RNAseq,TRAV20,1.03 (1.01 1.04),2.36E-02
600,Hyperplasia of prostate,genitourinary,OPGS014716,0.017,RNAseq,AC114778.2,1.03 (1.01 1.04),2.53E-02
600,Hyperplasia of prostate,genitourinary,OPGS011997,0.041,RNAseq,GATA6,0.97 (0.96 0.99),2.62E-02
600,Hyperplasia of prostate,genitourinary,OPGS009222,0.085,RNAseq,,1.03 (1.01 1.04),2.67E-02
600,Hyperplasia of prostate,genitourinary,OPGS005110,0.275,RNAseq,PLPBP,0.97 (0.96 0.99),3.13E-02
600,Hyperplasia of prostate,genitourinary,OPGS010664,0.059,RNAseq,LINC01569,0.97 (0.96 0.99),4.69E-02
602,Other disorders of prostate,genitourinary,OPGS000878,0.065,SomaScan,Beta-2-microglobulin,0.89 (0.85 0.93),2.95E-03
602,Other disorders of prostate,genitourinary,OPGS001302,0.033,SomaScan,Immunoglobulin D,1.11 (1.06 1.17),1.98E-02
602,Other disorders of prostate,genitourinary,OPGS011283,0.050,RNAseq,CD248,1.14 (1.09 1.19),4.98E-04
602,Other disorders of prostate,genitourinary,OPGS003843,0.532,RNAseq,BTN3A2,1.14 (1.09 1.20),9.49E-04
602,Other disorders of prostate,genitourinary,OPGS009371,0.082,RNAseq,TRBV19,1.12 (1.07 1.17),2.95E-03
602,Other disorders of prostate,genitourinary,OPGS014283,0.021,RNAseq,MXRA8,1.10 (1.06 1.15),4.02E-02
602,Other disorders of prostate,genitourinary,OPGS010693,0.058,RNAseq,TRBV5-1,0.90 (0.86 0.95),4.60E-02
602,Other disorders of prostate,genitourinary,OPGS004334,0.383,RNAseq,HLA-G,1.10 (1.05 1.15),4.73E-02
602,Other disorders of prostate,genitourinary,OPGS013225,0.029,RNAseq,REG4,1.10 (1.05 1.16),4.96E-02
602,Other disorders of prostate,genitourinary,OPGS010142,0.067,RNAseq,PRSS16,0.90 (0.86 0.95),4.96E-02
603.1,Hydrocele,genitourinary,OPGS008309,0.106,RNAseq,SP1,1.14 (1.09 1.19),2.04E-05
603.1,Hydrocele,genitourinary,OPGS011303,0.050,RNAseq,,1.14 (1.09 1.19),3.32E-05
603.1,Hydrocele,genitourinary,OPGS005053,0.281,RNAseq,PSD4,1.12 (1.07 1.17),6.32E-03
603.1,Hydrocele,genitourinary,OPGS005234,0.263,RNAseq,UBE2F,0.90 (0.86 0.94),1.53E-02
604.1,Redundant prepuce and phimosis/BXO,genitourinary,OPGS001911,0.014,SomaScan,Ectodysplasin-A. secreted form,1.08 (1.05 1.12),4.46E-03
604.1,Redundant prepuce and phimosis/BXO,genitourinary,OPGS001281,0.035,SomaScan,PAX-interacting protein 1,1.08 (1.05 1.12),4.46E-03
604.1,Redundant prepuce and phimosis/BXO,genitourinary,OPGS000082,0.401,SomaScan,MHC class I polypeptide-related sequence A,1.08 (1.05 1.12),4.86E-03
604.1,Redundant prepuce and phimosis/BXO,genitourinary,OPGS001893,0.015,SomaScan,Interleukin-17F,1.07 (1.04 1.11),4.45E-02
604.1,Redundant prepuce and phimosis/BXO,genitourinary,OPGS002658,0.013,Olink,C-C motif chemokine 22,1.08 (1.05 1.12),5.61E-03
604.1,Redundant prepuce and phimosis/BXO,genitourinary,OPGS012171,0.039,RNAseq,TRBV15,0.91 (0.88 0.93),1.75E-05
604.1,Redundant prepuce and phimosis/BXO,genitourinary,OPGS004956,0.291,RNAseq,,0.93 (0.90 0.96),3.99E-02
604.1,Redundant prepuce and phimosis/BXO,genitourinary,OPGS010624,0.059,RNAseq,TRBV18,1.07 (1.04 1.11),4.55E-02
610.4,Benign neoplasm of breast,genitourinary,OPGS007002,0.152,RNAseq,,0.88 (0.84 0.93),3.46E-03
610.8,Other specified benign mammary dysplasias,genitourinary,OPGS002130,0.011,SomaScan,Interferon gamma receptor 2,0.85 (0.79 0.91),4.30E-02
613,Other nonmalignant breast conditions,genitourinary,OPGS001062,0.049,SomaScan,ER membrane protein complex subunit 1,1.28 (1.16 1.41),1.16E-02
613,Other nonmalignant breast conditions,genitourinary,OPGS002314,0.010,SomaScan,Ras-related protein Rab-39B,1.27 (1.15 1.40),1.16E-02
613,Other nonmalignant breast conditions,genitourinary,OPGS001140,0.043,SomaScan,Beta-soluble NSF attachment protein,1.25 (1.14 1.38),2.67E-02
613,Other nonmalignant breast conditions,genitourinary,OPGS005126,0.274,RNAseq,GOLGA6L10,0.79 (0.71 0.87),2.67E-02
613,Other nonmalignant breast conditions,genitourinary,OPGS011356,0.049,RNAseq,CA13,0.82 (0.75 0.90),4.18E-02
615,Endometriosis,genitourinary,OPGS001187,0.039,SomaScan,Intestinal-type alkaline phosphatase,0.93 (0.90 0.95),3.82E-03
615,Endometriosis,genitourinary,OPGS002557,0.050,Olink,Epithelial cell adhesion molecule,0.93 (0.90 0.96),6.09E-03
618.1,Prolapse of vaginal walls,genitourinary,OPGS001492,0.026,SomaScan,EGF-containing fibulin-like extracellular matrix protein 1,0.95 (0.93 0.97),1.51E-03
618.1,Prolapse of vaginal walls,genitourinary,OPGS004765,0.314,RNAseq,LINC01184,1.06 (1.03 1.08),1.51E-03
618.1,Prolapse of vaginal walls,genitourinary,OPGS014487,0.019,RNAseq,FAM71F2,0.95 (0.93 0.97),6.57E-03
618.1,Prolapse of vaginal walls,genitourinary,OPGS008924,0.091,RNAseq,SWAP70,1.05 (1.03 1.07),1.74E-02
618.1,Prolapse of vaginal walls,genitourinary,OPGS007860,0.120,RNAseq,SBF2,1.05 (1.03 1.07),2.25E-02
618.2,Uterine/Uterovaginal prolapse,genitourinary,OPGS001492,0.026,SomaScan,EGF-containing fibulin-like extracellular matrix protein 1,0.91 (0.89 0.93),1.83E-09
618.2,Uterine/Uterovaginal prolapse,genitourinary,OPGS005189,0.267,RNAseq,LDAH,0.94 (0.92 0.97),9.32E-03
618.2,Uterine/Uterovaginal prolapse,genitourinary,OPGS012058,0.041,RNAseq,SLC35B3,1.06 (1.03 1.08),1.72E-02
618.2,Uterine/Uterovaginal prolapse,genitourinary,OPGS010142,0.067,RNAseq,PRSS16,0.94 (0.92 0.97),1.72E-02
619.3,Noninflammatory disorders of cervix,genitourinary,OPGS004352,0.380,RNAseq,MSR1,1.11 (1.07 1.15),6.36E-05
619.3,Noninflammatory disorders of cervix,genitourinary,OPGS007228,0.142,RNAseq,SMG7,0.92 (0.89 0.95),2.63E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS001490,0.026,SomaScan,Intercellular adhesion molecule 2,0.95 (0.93 0.97),7.70E-03
622.1,Polyp of corpus uteri,genitourinary,OPGS001557,0.023,SomaScan,Leukemia inhibitory factor receptor,0.95 (0.94 0.97),1.24E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS001954,0.014,SomaScan,Tuftelin,0.96 (0.94 0.97),1.60E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS000600,0.099,SomaScan,Insulin receptor,0.96 (0.94 0.97),1.70E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS000923,0.060,SomaScan,Thrombospondin type-1 domain-containing protein 1,0.95 (0.93 0.97),1.70E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS000088,0.392,SomaScan,E-selectin,0.96 (0.94 0.98),2.24E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS001658,0.020,SomaScan,Endoglin,0.96 (0.94 0.98),2.29E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS000215,0.218,SomaScan,Immunoglobulin superfamily containing leucine-rich repeat protein 2,0.96 (0.94 0.98),2.81E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS001987,0.013,SomaScan,Insulin-like growth factor 1 receptor,0.96 (0.94 0.98),2.98E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS000351,0.151,SomaScan,C1GALT1-specific chaperone 1,1.04 (1.02 1.06),3.38E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS000378,0.143,SomaScan,Immunoglobulin superfamily containing leucine-rich repeat protein 2,0.96 (0.94 0.98),3.38E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS000828,0.070,SomaScan,Platelet endothelial aggregation receptor 1,0.96 (0.94 0.98),4.09E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS000121,0.341,SomaScan,D-glucuronyl C5-epimerase,1.04 (1.02 1.07),4.09E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS002408,0.270,Olink,E-selectin,0.95 (0.93 0.97),9.27E-03
622.1,Polyp of corpus uteri,genitourinary,OPGS002500,0.098,Olink,Galectin-4,0.96 (0.94 0.98),4.98E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS003171,0.014,Metabolon,cyclo(leu-pro),0.96 (0.94 0.98),4.86E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS010904,0.055,RNAseq,EEFSEC,0.93 (0.91 0.95),1.72E-08
622.1,Polyp of corpus uteri,genitourinary,OPGS014319,0.020,RNAseq,RUVBL1,1.05 (1.03 1.08),6.61E-04
622.1,Polyp of corpus uteri,genitourinary,OPGS009143,0.087,RNAseq,DCK,1.04 (1.02 1.06),2.98E-02
622.1,Polyp of corpus uteri,genitourinary,OPGS008253,0.108,RNAseq,SPON2,1.04 (1.02 1.06),4.86E-02
626,Disorders of menstruation and other abnormal bleeding from female genital tract,genitourinary,OPGS007419,0.135,RNAseq,JRK,1.08 (1.05 1.11),1.10E-02
626.12,Excessive or frequent menstruation,genitourinary,OPGS013531,0.026,RNAseq,FAT4,0.95 (0.93 0.97),1.12E-02
626.12,Excessive or frequent menstruation,genitourinary,OPGS009685,0.075,RNAseq,KCTD9,1.05 (1.03 1.07),1.19E-02
642.1,Preeclampsia and eclampsia,pregnancy complications,OPGS013107,0.030,RNAseq,PSD,0.79 (0.71 0.87),3.01E-02
647.1,Infections of genitourinary tract during pregnancy,pregnancy complications,OPGS001840,0.016,SomaScan,Inactive pancreatic lipase-related protein 1,0.80 (0.72 0.88),2.81E-02
647.1,Infections of genitourinary tract during pregnancy,pregnancy complications,OPGS002645,0.017,Olink,Carboxypeptidase A1,0.81 (0.74 0.88),2.81E-02
654.1,Abnormality of organs and soft tissues of pelvis complicating pregnancy. childbirth. or the puerperium,pregnancy complications,OPGS013499,0.026,RNAseq,SLC10A7,1.16 (1.09 1.23),2.36E-02
654.2,Rhesus isoimmunization in pregnancy,pregnancy complications,OPGS000225,0.210,SomaScan,Intercellular adhesion molecule 4,0.19 (0.16 0.22),3.17E-93
654.2,Rhesus isoimmunization in pregnancy,pregnancy complications,OPGS001066,0.048,SomaScan,Transmembrane protein 2,1.76 (1.55 1.99),1.89E-15
654.2,Rhesus isoimmunization in pregnancy,pregnancy complications,OPGS003225,0.010,Metabolon,pyruvate,2.62 (2.34 2.93),3.91E-60
654.2,Rhesus isoimmunization in pregnancy,pregnancy complications,OPGS003799,0.548,RNAseq,,0.21 (0.18 0.24),8.99E-86
654.2,Rhesus isoimmunization in pregnancy,pregnancy complications,OPGS007911,0.118,RNAseq,RHD,0.63 (0.56 0.69),1.61E-15
654.2,Rhesus isoimmunization in pregnancy,pregnancy complications,OPGS008585,0.099,RNAseq,TMEM50A,0.66 (0.57 0.76),1.49E-05
654.2,Rhesus isoimmunization in pregnancy,pregnancy complications,OPGS012454,0.036,RNAseq,,0.73 (0.65 0.82),2.65E-04
654.2,Rhesus isoimmunization in pregnancy,pregnancy complications,OPGS014676,0.018,RNAseq,ICE2,0.78 (0.70 0.88),3.65E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS001485,0.026,SomaScan,Tolloid-like protein 1,1.04 (1.02 1.07),3.21E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS000022,0.602,SomaScan,Interleukin-6 receptor subunit alpha,1.05 (1.03 1.07),3.21E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS000020,0.609,SomaScan,Interleukin-6 receptor subunit alpha,1.05 (1.02 1.07),3.21E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS001174,0.040,SomaScan,Platelet glycoprotein 4,1.04 (1.02 1.06),3.99E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS001700,0.019,SomaScan,Semaphorin-6B,1.04 (1.02 1.06),3.99E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS002139,0.011,SomaScan,Interleukin-27,0.96 (0.94 0.98),4.74E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS000456,0.126,SomaScan,Coagulation Factor VIII,1.04 (1.02 1.07),4.74E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS001832,0.016,SomaScan,Neurogenic locus notch homolog protein 1,1.04 (1.02 1.06),4.85E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS002651,0.015,Olink,von Willebrand factor,1.05 (1.03 1.07),1.10E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS002387,0.541,Olink,Interleukin-6 receptor subunit alpha,1.05 (1.03 1.07),3.21E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS002613,0.027,Olink,Interleukin-6,1.05 (1.02 1.07),3.99E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS002568,0.043,Olink,Granzyme A,0.96 (0.94 0.98),3.99E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS003149,0.015,Metabolon,sphingosine,1.05 (1.02 1.07),3.21E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS004765,0.314,RNAseq,LINC01184,0.92 (0.90 0.94),4.08E-12
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS006919,0.155,RNAseq,AC105233.5,0.95 (0.93 0.97),1.56E-02
681.3,Cellulitis and abscess of arm/hand,dermatologic,OPGS012562,0.035,RNAseq,H2BC17,0.95 (0.93 0.97),1.56E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS001485,0.026,SomaScan,Tolloid-like protein 1,1.04 (1.02 1.07),3.35E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS000022,0.602,SomaScan,Interleukin-6 receptor subunit alpha,1.05 (1.02 1.07),3.35E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS000020,0.609,SomaScan,Interleukin-6 receptor subunit alpha,1.05 (1.02 1.07),3.35E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS002139,0.011,SomaScan,Interleukin-27,0.96 (0.94 0.98),4.27E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS001700,0.019,SomaScan,Semaphorin-6B,1.04 (1.02 1.06),4.27E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS001174,0.040,SomaScan,Platelet glycoprotein 4,1.04 (1.02 1.06),4.27E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS000456,0.126,SomaScan,Coagulation Factor VIII,1.04 (1.02 1.07),4.27E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS001832,0.016,SomaScan,Neurogenic locus notch homolog protein 1,1.04 (1.02 1.06),4.96E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS002651,0.015,Olink,von Willebrand factor,1.05 (1.03 1.07),1.27E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS002387,0.541,Olink,Interleukin-6 receptor subunit alpha,1.05 (1.02 1.07),3.35E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS002613,0.027,Olink,Interleukin-6,1.05 (1.02 1.07),3.99E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS002568,0.043,Olink,Granzyme A,0.96 (0.94 0.98),4.90E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS003149,0.015,Metabolon,sphingosine,1.05 (1.02 1.07),3.35E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS004765,0.314,RNAseq,LINC01184,0.92 (0.90 0.94),7.33E-12
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS012562,0.035,RNAseq,H2BC17,0.95 (0.93 0.97),1.47E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS006919,0.155,RNAseq,AC105233.5,0.95 (0.93 0.97),1.77E-02
681.5,Cellulitis and abscess of leg. except foot,dermatologic,OPGS014283,0.021,RNAseq,MXRA8,0.96 (0.94 0.98),4.90E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS001485,0.026,SomaScan,Tolloid-like protein 1,1.04 (1.02 1.07),3.40E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS000022,0.602,SomaScan,Interleukin-6 receptor subunit alpha,1.05 (1.03 1.07),3.40E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS000020,0.609,SomaScan,Interleukin-6 receptor subunit alpha,1.05 (1.02 1.07),3.40E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS001700,0.019,SomaScan,Semaphorin-6B,1.04 (1.02 1.06),4.19E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS002139,0.011,SomaScan,Interleukin-27,0.96 (0.94 0.98),4.19E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS001174,0.040,SomaScan,Platelet glycoprotein 4,1.04 (1.02 1.06),4.19E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS001832,0.016,SomaScan,Neurogenic locus notch homolog protein 1,1.04 (1.02 1.06),4.86E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS000456,0.126,SomaScan,Coagulation Factor VIII,1.04 (1.02 1.07),4.91E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS002651,0.015,Olink,von Willebrand factor,1.05 (1.03 1.07),1.22E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS002387,0.541,Olink,Interleukin-6 receptor subunit alpha,1.05 (1.03 1.07),3.40E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS002613,0.027,Olink,Interleukin-6,1.05 (1.02 1.07),3.70E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS002568,0.043,Olink,Granzyme A,0.96 (0.94 0.98),3.70E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS003149,0.015,Metabolon,sphingosine,1.05 (1.02 1.07),3.40E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS004765,0.314,RNAseq,LINC01184,0.92 (0.90 0.94),6.74E-12
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS012562,0.035,RNAseq,H2BC17,0.95 (0.93 0.97),1.32E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS006919,0.155,RNAseq,AC105233.5,0.95 (0.93 0.97),1.32E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS014283,0.021,RNAseq,MXRA8,0.96 (0.94 0.98),4.38E-02
681.6,Cellulitis and abscess of foot. toe,dermatologic,OPGS012358,0.037,RNAseq,SFRP5,0.96 (0.94 0.98),4.91E-02
686,Other local infections of skin and subcutaneous tissue,dermatologic,OPGS000810,0.072,SomaScan,Cystatin-C,0.91 (0.87 0.94),3.72E-03
686,Other local infections of skin and subcutaneous tissue,dermatologic,OPGS000389,0.141,SomaScan,Transmembrane emp24 domain-containing protein 10,0.91 (0.87 0.94),7.36E-03
686,Other local infections of skin and subcutaneous tissue,dermatologic,OPGS004603,0.339,RNAseq,CST3,0.90 (0.87 0.94),2.17E-03
686,Other local infections of skin and subcutaneous tissue,dermatologic,OPGS011211,0.051,RNAseq,THAP12,1.09 (1.05 1.13),1.84E-02
694.2,Other dyschromia,dermatologic,OPGS000400,0.139,SomaScan,Agouti-signaling protein,1.15 (1.09 1.21),8.36E-04
695.42,Systemic lupus erythematosus,dermatologic,OPGS000147,0.288,SomaScan,Ferritin. mitochondrial,0.70 (0.64 0.76),7.11E-15
695.42,Systemic lupus erythematosus,dermatologic,OPGS000569,0.103,SomaScan,cAMP-specific 3'.5'-cyclic phosphodiesterase 4D,0.70 (0.64 0.76),7.11E-15
695.42,Systemic lupus erythematosus,dermatologic,OPGS000920,0.061,SomaScan,T-cell surface protein tactile,0.70 (0.65 0.76),2.03E-14
695.42,Systemic lupus erythematosus,dermatologic,OPGS000572,0.102,SomaScan,Glutamate receptor 4,0.71 (0.65 0.77),3.82E-13
695.42,Systemic lupus erythematosus,dermatologic,OPGS000290,0.171,SomaScan,Complement C4,0.69 (0.63 0.76),5.70E-12
